Letter,English,French,German,Spanish
a,8.167%,7.636%,6.516%,11.525%
b,1.492%,0.901%,1.886%,2.215%
c,2.782%,3.260%,2.732%,4.019%
d,4.253%,3.669%,5.076%,5.010%
e,12.702%,14.715%,16.396%,12.181%
f,2.228%,1.066%,1.656%,0.692%
g,2.015%,0.866%,3.009%,1.768%
h,6.094%,0.737%,4.577%,0.703%
i,6.966%,7.529%,6.550%,6.247%
j,0.153%,0.613%,0.268%,0.493%
k,0.772%,0.049%,1.417%,0.011%
l,4.025%,5.456%,3.437%,4.967%
m,2.406%,2.968%,2.534%,3.157%
n,6.749%,7.095%,9.776%,6.712%
o,7.507%,5.796%,2.594%,8.683%
p,1.929%,2.521%,0.670%,2.510%
q,0.095%,1.362%,0.018%,0.877%
r,5.987%,6.693%,7.003%,6.871%
s,6.327%,7.948%,7.270%,7.977%
t,9.056%,7.244%,6.154%,4.632%
u,2.758%,6.311%,4.166%,2.927%
v,0.978%,1.838%,0.846%,1.138%
w,2.360%,0.074%,1.921%,0.017%
x,0.150%,0.427%,0.034%,0.215%
y,1.974%,0.128%,0.039%,1.008%
z,0.074%,0.326%,1.134%,0.467%
ß,0,0,0.307%,0
à,0,0.486%,0,0
á,0,0,0,0.502%
â,0,0.051%,0,0
ä,0,0,0.578%,0
å,0,0,0,0
æ,0,0,0,0
ç,0,0.085%,0,0
è,0,0.271%,0,0
é,0,1.504%,0,0.433%
ê,0,0.218%,0,0
ë,0,0.008%,0,0
í,0,0,0,0.725%
î,0,0.045%,0,0
ï,0,0.005%,0,0
ð,0,0,0,0
ñ,0,0,0,0.311%
ò,0,0,0,0
ó,0,0,0,0.827%
ô,0,0.023%,0,0
ö,0,0,0.443%,0
ø,0,0,0,0
ù,0,0.058%,0,0
ú,0,0,0,0.168%
ü,0,0,0.995%,0.012%
œ,0,0.018%,0,0
